comment,label
This video is amazing! Loved every part of it.,positive
I really hate the sound quality.,negative
The editing was great and smooth.,positive
"Not bad, but could be better.",neutral
Worst video I’ve seen this week.,negative
I learned a lot from this tutorial. Thanks!,positive
Dislike the background music.,negative
Such a heartwarming story ❤️,positive
I didn’t enjoy this at all.,negative
"It’s okay, not too good or bad.",neutral
Fantastic content! Keep it up.,positive
Very boring and dull.,negative
I love the visuals and creativity.,positive
"Terrible explanation, I’m confused.",negative
"Nice work, very informative.",positive
I will definitely subscribe after this.,positive
This was a waste of my time.,negative
Pretty decent overall.,neutral
The presenter did a great job.,positive
"Awful experience, poor editing.",negative
